Protein name,UniProt ID,Category,Citation
Hemagglutinin,A0A2Z5U3Z0_9INFA,inter-experimenter
Beta-lactamase TEM,BLAT_ECOLX,inter-experimenter
Cytochrome P450,CP2C9_HUMAN,inter-phenotype
Dihydrofolate reductase,DYR_ECOLI,inter-experimenter
ParD antitoxin,F7YBW8_MESOW,inter-experimenter
HSP82,HSP82_YEAST,inter-phenotype
Potassium channel E1,KCNE1_HUMAN,inter-phenotype
Potassium channel J1,KCNJ2_MOUSE,inter-phenotype
D-amino-acid oxidase,OXDA_RHOTO,inter-phenotype
p53,P53_HUMAN,inter-experimenter
HLA antigen,Q53Z42_HUMAN,inter-phenotype
Ubiquitin-ribosomal protein,RL40A_YEAST,inter-experimenter
Solute carrier 22A1,S22A1_HUMAN,inter-phenotype
Immunoglobulin G-binding protein G,SPG1_STRSG,inter-experimenter
Spike glycoprotein,SPIKE_SARS2,inter-phenotype
Proto-oncogene tyrosine-protein kinase Src,SRC_HUMAN,inter-experimenter
Vitamin K epoxide reductase complex subunit 1,VKOR1_HUMAN,inter-phenotype
Beta-glucoronidase,C1F2K5_ACIC5,new-to-nature
Cytochrome P450,CPXB_PRIM2,new-to-nature
Phosphotriesterase,OPD_BREDI,new-to-nature
Hydra minicollagen,Q8IT70_HYDVU,new-to-nature
