,Ground Truth,SolubleMPNN,ProteinMPNN,ESM-3 (hybrid),SaProt 650M,ISM 650M,ESM-3 (sequence),ESMC 600M,ESM-2 3B,ESM-2 650M,ISMC 300M,ESM-3 (structure),ProstT5,ESMC 300M,ISMC 600M,AMPLIFY 350M
SolubleMPNN,0.4987179487179487,1.0,0.9124839124839125,0.602059202059202,0.5351351351351351,0.6360360360360361,0.5196911196911197,0.5775910364145658,0.5274509803921569,0.5737451737451738,0.5662805662805663,0.6036036036036037,0.48185328185328186,0.5027027027027027,0.5210084033613446,0.522007722007722
ProteinMPNN,0.4944410547911448,0.9124839124839125,1.0,0.6097812097812098,0.51994851994852,0.5992277992277992,0.4929214929214929,0.5641456582633053,0.4647058823529412,0.5624195624195624,0.5585585585585585,0.6553410553410554,0.46924066924066926,0.42162162162162165,0.4512605042016807,0.5052767052767053
ESM-3 (hybrid),0.46150765127586657,0.602059202059202,0.6097812097812098,1.0,0.7106821106821107,0.7773487773487774,0.8342342342342343,0.7434173669467787,0.6526610644257703,0.7441441441441441,0.764993564993565,0.8702702702702703,0.6782496782496783,0.7276705276705276,0.7607843137254902,0.5577863577863578
SaProt 650M,0.4352919703641649,0.5351351351351351,0.51994851994852,0.7106821106821107,1.0,0.7956241956241956,0.7940797940797941,0.8028011204481793,0.7394957983193278,0.7631917631917632,0.7727155727155727,0.6725868725868726,0.7428571428571429,0.7467181467181467,0.696078431372549,0.7019305019305019
ISM 650M,0.4333603236271434,0.6360360360360361,0.5992277992277992,0.7773487773487774,0.7956241956241956,1.0,0.8713207134259766,0.8046467520151731,0.8247984826932195,0.9325965641755115,0.8993325309114782,0.7848133848133848,0.788931788931789,0.8634423897581792,0.8153153153153153,0.7032498085129664
ESM-3 (sequence),0.3865529522711768,0.5196911196911197,0.4929214929214929,0.8342342342342343,0.7940797940797941,0.8713207134259766,1.0,0.8328591749644382,0.7612612612612613,0.8549075391180654,0.8754787175839808,0.792020592020592,0.7503217503217503,0.8899223109749426,0.7828354670459934,0.604114235693183
ESMC 600M,0.3823854949018624,0.5775910364145658,0.5641456582633053,0.7434173669467787,0.8028011204481793,0.8046467520151731,0.8328591749644382,1.0,0.8131816026552868,0.8508771929824561,0.7581792318634424,0.7056022408963586,0.6151260504201681,0.8499288762446657,0.7937411095305832,0.7596017069701281
ESM-2 3B,0.3700482041590143,0.5274509803921569,0.4647058823529412,0.6526610644257703,0.7394957983193278,0.8247984826932195,0.7612612612612613,0.8131816026552868,1.0,0.9063537221431959,0.7102892366050261,0.6456582633053222,0.6787114845938376,0.8119962067330488,0.7321005215742058,0.6621621621621622
ESM-2 650M,0.36909628598109057,0.5737451737451738,0.5624195624195624,0.7441441441441441,0.7631917631917632,0.9325965641755115,0.8549075391180654,0.8508771929824561,0.9063537221431959,1.0,0.8369624685414159,0.7755469755469755,0.7732303732303732,0.9030528504212715,0.7899478425794215,0.689462742094321
ISMC 300M,0.35124624058409526,0.5662805662805663,0.5585585585585585,0.764993564993565,0.7727155727155727,0.8993325309114782,0.8754787175839808,0.7581792318634424,0.7102892366050261,0.8369624685414159,1.0,0.7706563706563706,0.8018018018018018,0.8640989167304957,0.7954006638217165,0.6220593062698326
ESM-3 (structure),0.33741152987357037,0.6036036036036037,0.6553410553410554,0.8702702702702703,0.6725868725868726,0.7848133848133848,0.792020592020592,0.7056022408963586,0.6456582633053222,0.7755469755469755,0.7706563706563706,1.0,0.6743886743886743,0.6839124839124839,0.6238095238095238,0.6002574002574003
ProstT5,0.33213098658119006,0.48185328185328186,0.46924066924066926,0.6782496782496783,0.7428571428571429,0.788931788931789,0.7503217503217503,0.6151260504201681,0.6787114845938376,0.7732303732303732,0.8018018018018018,0.6743886743886743,1.0,0.745945945945946,0.6324929971988795,0.5747747747747748
ESMC 300M,0.3293654937892113,0.5027027027027027,0.42162162162162165,0.7276705276705276,0.7467181467181467,0.8634423897581792,0.8899223109749426,0.8499288762446657,0.8119962067330488,0.9030528504212715,0.8640989167304957,0.6839124839124839,0.745945945945946,1.0,0.7949265054528213,0.6723930408140935
ISMC 600M,0.3282689935872349,0.5210084033613446,0.4512605042016807,0.7607843137254902,0.696078431372549,0.8153153153153153,0.7828354670459934,0.7937411095305832,0.7321005215742058,0.7899478425794215,0.7954006638217165,0.6238095238095238,0.6324929971988795,0.7949265054528213,1.0,0.5718349928876245
AMPLIFY 350M,0.3174977828913634,0.522007722007722,0.5052767052767053,0.5577863577863578,0.7019305019305019,0.7032498085129664,0.604114235693183,0.7596017069701281,0.6621621621621622,0.689462742094321,0.6220593062698326,0.6002574002574003,0.5747747747747748,0.6723930408140935,0.5718349928876245,1.0
