,Ground Truth,ESM-3 (hybrid),ESM-2 650M,ISM 650M,SaProt 650M,ISMC 300M,ISMC 600M,ESMC 600M,ESMC 300M,ESM-2 3B,ESM-3 (sequence),ESM-3 (structure),ProteinMPNN,SolubleMPNN,AMPLIFY 350M,ProstT5
ESM-3 (hybrid),0.48853631765469363,1.0,0.6887729511867443,0.7223645320197044,0.784903381642512,0.7377854903716973,0.7101634572324228,0.6905463502015227,0.6951679355127631,0.651372592924317,0.7591648007165248,0.952192118226601,0.8826892073443797,0.8691939095387371,0.5207950112474728,0.7639864457682543
ESM-2 650M,0.4880581529286565,0.6887729511867443,1.0,0.9023800661345891,0.7086496434322521,0.8625478263880473,0.8119427468361005,0.8425581274562421,0.8407164869029276,0.898817974065546,0.7999843260188088,0.7034863412449619,0.5421857803213735,0.5192031697116443,0.703023434608047,0.7397321007974906
ISM 650M,0.4873137524227299,0.7223645320197044,0.9023800661345891,1.0,0.7575339314469749,0.9015403992313152,0.8608468516819308,0.8231202714634442,0.8282578210211042,0.8396279496546113,0.775537393640842,0.7160501567398119,0.598861985472155,0.5798261060972926,0.7126592442837211,0.7556597447365067
SaProt 650M,0.4847504421533212,0.784903381642512,0.7086496434322521,0.7575339314469749,1.0,0.7512594893029676,0.7614590522199218,0.7587790430181734,0.721808143547274,0.7452035886818495,0.62073268921095,0.7198527720266851,0.6996031746031746,0.6852714515757994,0.5973924762686043,0.632979641131815
ISMC 300M,0.464809368026999,0.7377854903716973,0.8625478263880473,0.9015403992313152,0.7512594893029676,1.0,0.9071453922196638,0.9014841328924361,0.9341662194214089,0.7852963071968976,0.8301903269144648,0.7269010300044783,0.560279550957517,0.5469029275808936,0.6854397904268344,0.7830343436358699
ISMC 600M,0.462858004194124,0.7101634572324228,0.8119427468361005,0.8608468516819308,0.7614590522199218,0.9071453922196638,1.0,0.9027306487076054,0.8808733401430031,0.7719676771524039,0.7870394012766894,0.6949798477384684,0.5426722430112261,0.5325687871450583,0.6589265070189926,0.7098414440177122
ESMC 600M,0.4619860364384972,0.6905463502015227,0.8425581274562421,0.8231202714634442,0.7587790430181734,0.9014841328924361,0.9027306487076054,1.0,0.945456276726511,0.8178983223974654,0.8177093596059113,0.6534549932825795,0.5032577591899626,0.47892361875412726,0.7050986645405621,0.7055519532700439
ESMC 300M,0.4597192583549244,0.6951679355127631,0.8407164869029276,0.8282578210211042,0.721808143547274,0.9341662194214089,0.8808733401430031,0.945456276726511,1.0,0.780448745693461,0.830141065830721,0.6726354679802956,0.5135307065815541,0.4937640325775919,0.6928340784190894,0.7211747884350009
ESM-2 3B,0.4459199038551147,0.651372592924317,0.898817974065546,0.8396279496546113,0.7452035886818495,0.7852963071968976,0.7719676771524039,0.8178983223974654,0.780448745693461,1.0,0.7258956560680698,0.6315226153157187,0.5142879154743561,0.4859123926920537,0.7612278253936615,0.6623217561418968
ESM-3 (sequence),0.4419320152847152,0.7591648007165248,0.7999843260188088,0.775537393640842,0.62073268921095,0.8301903269144648,0.7870394012766894,0.8177093596059113,0.830141065830721,0.7258956560680698,1.0,0.7637236901030005,0.5853291536050157,0.5630340349305867,0.6488259916284632,0.7335077713845385
ESM-3 (structure),0.4343799360428971,0.952192118226601,0.7034863412449619,0.7160501567398119,0.7198527720266851,0.7269010300044783,0.6949798477384684,0.6534549932825795,0.6726354679802956,0.6315226153157187,0.7637236901030005,1.0,0.8646215853112404,0.8503090013434841,0.496741934565335,0.7745741015946404
ProteinMPNN,0.4128971682834391,0.8826892073443797,0.5421857803213735,0.598861985472155,0.6996031746031746,0.560279550957517,0.5426722430112261,0.5032577591899626,0.5135307065815541,0.5142879154743561,0.5853291536050157,0.8646215853112404,1.0,0.9726546335020911,0.4237717474871152,0.6221424177431958
SolubleMPNN,0.3909131065257694,0.8691939095387371,0.5192031697116443,0.5798261060972926,0.6852714515757994,0.5469029275808936,0.5325687871450583,0.47892361875412726,0.4937640325775919,0.4859123926920537,0.5630340349305867,0.8503090013434841,0.9726546335020911,1.0,0.4209220080298414,0.6346035546245034
AMPLIFY 350M,0.366963604198829,0.5207950112474728,0.703023434608047,0.7126592442837211,0.5973924762686043,0.6854397904268344,0.6589265070189926,0.7050986645405621,0.6928340784190894,0.7612278253936615,0.6488259916284632,0.496741934565335,0.4237717474871152,0.4209220080298414,1.0,0.557876121463078
ProstT5,0.3265966398675571,0.7639864457682543,0.7397321007974906,0.7556597447365067,0.632979641131815,0.7830343436358699,0.7098414440177122,0.7055519532700439,0.7211747884350009,0.6623217561418968,0.7335077713845385,0.7745741015946404,0.6221424177431958,0.6346035546245034,0.557876121463078,1.0
