assay,n_assayed,n_positive_log_odds,selection_fraction,top_one_percent_precision,top_one_percent_enrichment,top_one_percent_recall,top_one_percent_retained,top_ten_percent_retained,fit_recall_at_1,top_one_percent_recall_at_1,top_ten_percent_recall_at_1,best_recall_at_1,fit_recall_at_5,top_one_percent_recall_at_5,top_ten_percent_recall_at_5,best_recall_at_5,fit_recall_at_8,top_one_percent_recall_at_8,top_ten_percent_recall_at_8,best_recall_at_8,fit_recall_at_10,top_one_percent_recall_at_10,top_ten_percent_recall_at_10,best_recall_at_10,fit_recall_at_16,top_one_percent_recall_at_16,top_ten_percent_recall_at_16,best_recall_at_16,fit_recall_at_25,top_one_percent_recall_at_25,top_ten_percent_recall_at_25,best_recall_at_25,fit_recall_at_32,top_one_percent_recall_at_32,top_ten_percent_recall_at_32,best_recall_at_32,fit_recall_at_50,top_one_percent_recall_at_50,top_ten_percent_recall_at_50,best_recall_at_50,fit_recall_at_64,top_one_percent_recall_at_64,top_ten_percent_recall_at_64,best_recall_at_64,fit_recall_at_100,top_one_percent_recall_at_100,top_ten_percent_recall_at_100,best_recall_at_100,fit_recall_at_128,top_one_percent_recall_at_128,top_ten_percent_recall_at_128,best_recall_at_128,fit_recall_at_250,top_one_percent_recall_at_250,top_ten_percent_recall_at_250,best_recall_at_250,fit_recall_at_256,top_one_percent_recall_at_256,top_ten_percent_recall_at_256,best_recall_at_256,fit_recall_at_500,top_one_percent_recall_at_500,top_ten_percent_recall_at_500,best_recall_at_500,top_one_percent_hit_at_8,random_top_one_percent_hit_at_8,top_ten_percent_hit_at_8,random_top_ten_percent_hit_at_8,best_hit_at_8,random_best_hit_at_8
A0A1I9GEU1_NEIME_Kennouche_2019,922,119,0.12906724511930587,0.01680672268907563,1.5495798319327732,0.2,True,True,0.0021645021645021645,0.0,0.010752688172043012,0.0,0.004329004329004329,0.0,0.021505376344086023,0.0,0.008658008658008658,0.0,0.03225806451612903,0.0,0.012987012987012988,0.0,0.03225806451612903,0.0,0.021645021645021644,0.0,0.043010752688172046,0.0,0.02813852813852814,0.0,0.043010752688172046,0.0,0.03896103896103896,0.0,0.053763440860215055,0.0,0.05411255411255411,0.0,0.06451612903225806,0.0,0.0735930735930736,0.0,0.08602150537634409,0.0,0.11904761904761904,0.1,0.16129032258064516,0.0,0.15151515151515152,0.2,0.21505376344086022,0.0,0.29653679653679654,0.3,0.3333333333333333,0.0,0.3008658008658009,0.3,0.3333333333333333,0.0,0.5822510822510822,0.5,0.5806451612903226,0.0,False,0.08385138640813028,True,0.5743028304045983,False,0.008676789587852451
A0A247D711_LISMN_Stadelmann_2021,1653,125,0.07562008469449485,0.008,0.7778823529411766,0.058823529411764705,True,True,0.0012106537530266344,0.0,0.0,0.0,0.004842615012106538,0.0,0.012048192771084338,0.0,0.006053268765133172,0.0,0.012048192771084338,0.0,0.007263922518159807,0.0,0.018072289156626505,0.0,0.012106537530266344,0.0,0.018072289156626505,0.0,0.01937046004842615,0.0,0.024096385542168676,0.0,0.023002421307506054,0.0,0.024096385542168676,0.0,0.03389830508474576,0.0,0.04216867469879518,0.0,0.04600484261501211,0.0,0.04819277108433735,0.0,0.07990314769975787,0.058823529411764705,0.09036144578313253,0.0,0.10774818401937046,0.058823529411764705,0.12650602409638553,0.0,0.19612590799031476,0.11764705882352941,0.22289156626506024,0.0,0.2009685230024213,0.11764705882352941,0.2289156626506024,0.0,0.4116222760290557,0.5882352941176471,0.5180722891566265,1.0,False,0.07953582462803876,True,0.5719632537829721,False,0.00483968542044777
ADRB2_HUMAN_Jones_2020,7800,1422,0.1823076923076923,0.008438818565400843,0.8438818565400843,0.15384615384615385,True,True,0.0,0.0,0.0,0.0,0.0007692307692307692,0.0,0.0,0.0,0.0015384615384615385,0.0,0.001282051282051282,0.0,0.0017948717948717949,0.0,0.002564102564102564,0.0,0.002564102564102564,0.0,0.0038461538461538464,0.0,0.0035897435897435897,0.0,0.0038461538461538464,0.0,0.005128205128205128,0.0,0.007692307692307693,0.0,0.007948717948717949,0.0,0.008974358974358974,0.0,0.01,0.0,0.008974358974358974,0.0,0.01717948717948718,0.01282051282051282,0.01282051282051282,0.0,0.021538461538461538,0.01282051282051282,0.020512820512820513,0.0,0.04384615384615385,0.01282051282051282,0.047435897435897434,0.0,0.04512820512820513,0.01282051282051282,0.047435897435897434,0.0,0.08794871794871795,0.02564102564102564,0.09358974358974359,0.0,False,0.07728878529258565,True,0.5697045683042992,False,0.0010256410256409554
AICDA_HUMAN_Gajula_2014_3cycles,209,48,0.22966507177033493,0.041666666666666664,2.9027777777777777,0.6666666666666666,True,True,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.09523809523809523,0.0,0.11428571428571428,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.19047619047619047,0.0,0.22857142857142856,0.0,0.2857142857142857,0.0,0.2571428571428571,0.0,0.3333333333333333,0.0,0.3142857142857143,0.3333333333333333,0.42857142857142855,0.0,0.5142857142857142,0.6666666666666666,0.6666666666666666,1.0,0.5428571428571428,0.6666666666666666,0.6666666666666666,1.0,0.8285714285714286,1.0,0.8095238095238095,1.0,0.9142857142857143,1.0,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,0.1110053180991395,True,0.5778912243163592,False,0.03827751196172269
AMIE_PSEAE_Wrenbeck_2017,6227,614,0.09860285851935122,0.021172638436482084,2.092730468951967,0.20634920634920634,True,True,0.0003211303789338471,0.0,0.0016051364365971107,0.0,0.0009633911368015414,0.0,0.004815409309791332,0.0,0.0016056518946692357,0.0,0.004815409309791332,0.0,0.0019267822736030828,0.0,0.004815409309791332,0.0,0.0032113037893384713,0.0,0.009630818619582664,0.0,0.005459216441875401,0.0,0.012841091492776886,0.0,0.007064868336544637,0.0,0.016051364365971106,0.0,0.010276172125883108,0.0,0.024077046548956663,0.0,0.013808606294155427,0.015873015873015872,0.027287319422150885,0.0,0.022800256904303148,0.047619047619047616,0.051364365971107544,0.0,0.03050738599871548,0.047619047619047616,0.06581059390048154,0.0,0.05748233782915864,0.09523809523809523,0.11075441412520064,0.0,0.05876685934489403,0.09523809523809523,0.11396468699839486,0.0,0.11400128452151574,0.1746031746031746,0.1942215088282504,0.0,False,0.0781714822570102,True,0.5699323199648143,False,0.0012847277982976912
ANCSZ_Hobbs_2022,4670,392,0.08394004282655246,0.05102040816326531,5.069474598349979,0.425531914893617,True,True,0.0,0.0,0.0,0.0,0.00042826552462526765,0.0,0.0,0.0,0.001284796573875803,0.0,0.0,0.0,0.0017130620985010706,0.0,0.0,0.0,0.0029978586723768737,0.0,0.0,0.0,0.005139186295503212,0.0425531914893617,0.004282655246252677,0.0,0.007708779443254818,0.06382978723404255,0.006423982869379015,0.0,0.014132762312633832,0.1276595744680851,0.019271948608137045,0.0,0.01841541755888651,0.14893617021276595,0.029978586723768737,0.0,0.02955032119914347,0.19148936170212766,0.05139186295503212,0.0,0.038115631691648826,0.2765957446808511,0.06638115631691649,0.0,0.07323340471092077,0.3617021276595745,0.11349036402569593,0.0,0.07494646680942184,0.3617021276595745,0.11563169164882227,0.0,0.14775160599571735,0.44680851063829785,0.21413276231263384,0.0,False,0.07779047885695767,False,0.5698197920906463,False,0.0017130620985009726
CAS9_STRP1_Spencer_2017_positive,8117,875,0.10779844770235308,0.009142857142857144,0.9050313588850175,0.0975609756097561,True,True,0.0,0.0,0.0,0.0,0.0004928536224741252,0.0,0.0,0.0,0.0012321340561853129,0.0,0.0012315270935960591,0.0,0.0014785608674223755,0.0,0.0024630541871921183,0.0,0.0024642681123706258,0.0,0.0024630541871921183,0.0,0.003696402168555939,0.0,0.0024630541871921183,0.0,0.003942828979793002,0.0,0.0024630541871921183,0.0,0.007392804337111878,0.0,0.006157635467980296,0.0,0.009610645638245442,0.0,0.008620689655172414,0.0,0.01429275505174963,0.012195121951219513,0.012315270935960592,0.0,0.017742730409068506,0.024390243902439025,0.01600985221674877,0.0,0.034746180384425826,0.036585365853658534,0.034482758620689655,0.0,0.0362247412518482,0.036585365853658534,0.038177339901477834,0.0,0.06998521439132578,0.06097560975609756,0.06527093596059114,0.0,False,0.07804997010161152,True,0.5698392706249007,False,0.0009855858075643598
CASP3_HUMAN_Roychowdhury_2020,1567,224,0.1429483088704531,0.008928571428571428,0.8744419642857142,0.125,True,True,0.0012195121951219512,0.0,0.006369426751592357,0.0,0.004878048780487805,0.0,0.012738853503184714,0.0,0.006097560975609756,0.0,0.012738853503184714,0.0,0.007317073170731708,0.0,0.012738853503184714,0.0,0.01097560975609756,0.0,0.012738853503184714,0.0,0.01951219512195122,0.0,0.03184713375796178,0.0,0.024390243902439025,0.0,0.03184713375796178,0.0,0.04024390243902439,0.0,0.044585987261146494,0.0,0.0524390243902439,0.0,0.05732484076433121,0.0,0.08292682926829269,0.0625,0.07643312101910828,0.0,0.1073170731707317,0.0625,0.10828025477707007,0.0,0.21341463414634146,0.125,0.21656050955414013,0.0,0.21829268292682927,0.125,0.2229299363057325,0.0,0.4317073170731707,0.375,0.4585987261146497,1.0,False,0.07899476368216352,True,0.571121842967855,False,0.0051052967453733
CASP7_HUMAN_Roychowdhury_2020,1680,276,0.16428571428571428,0.014492753623188406,1.432225063938619,0.23529411764705882,True,True,0.0011402508551881414,0.0,0.005952380952380952,0.0,0.002280501710376283,0.0,0.005952380952380952,0.0,0.004561003420752566,0.0,0.005952380952380952,0.0,0.0068415051311288486,0.0,0.017857142857142856,0.0,0.012542759407069556,0.0,0.023809523809523808,0.0,0.021664766248574687,0.0,0.041666666666666664,0.0,0.028506271379703536,0.0,0.047619047619047616,0.0,0.043329532497149374,0.0,0.06547619047619048,0.0,0.053591790193842644,0.058823529411764705,0.08333333333333333,0.0,0.08437856328392246,0.058823529411764705,0.1130952380952381,0.0,0.10946408209806158,0.058823529411764705,0.15476190476190477,0.0,0.22120866590649943,0.23529411764705882,0.34523809523809523,0.0,0.22805017103762829,0.23529411764705882,0.34523809523809523,0.0,0.43671607753705816,0.4117647058823529,0.5238095238095238,0.0,False,0.07830013258696811,True,0.5703317223489999,False,0.004761904761904856
CCDB_ECOLI_Adkar_2012,1176,101,0.0858843537414966,0.09900990099009901,0.6541328290132384,0.056179775280898875,True,True,0.0,0.0,0.0,0.0,0.001697792869269949,0.0,0.0,0.0,0.003395585738539898,0.0,0.0,0.0,0.006791171477079796,0.0,0.0,0.0,0.011884550084889643,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.01867572156196944,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.025466893039049237,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.044142614601018676,0.028089887640449437,0.028089887640449437,0.028089887640449437,0.05602716468590832,0.033707865168539325,0.033707865168539325,0.033707865168539325,0.08488964346349745,0.056179775280898875,0.056179775280898875,0.056179775280898875,0.12224108658743633,0.0898876404494382,0.0898876404494382,0.0898876404494382,0.2597623089983022,0.25280898876404495,0.25280898876404495,0.25280898876404495,0.26825127334465193,0.25280898876404495,0.25280898876404495,0.25280898876404495,0.5382003395585738,0.5955056179775281,0.5955056179775281,0.5955056179775281,False,0.7321245576189119,False,0.7321245576189119,False,0.7321245576189119
