proteinid,model,expression_rs,selection_rs,selection_name,variable_rs
CP2C9_HUMAN,AMPLIFY_350M,0.5040971257472079,0.5560690618124081,Binding,0.7486963986178132
CP2C9_HUMAN,ESM3_sm_both,0.6600787871371102,0.7003689713975156,Binding,0.7486963986178132
CP2C9_HUMAN,ProteinMPNN,0.5913787922864048,0.6039135253645235,Binding,0.7486963986178132
CP2C9_HUMAN,SolubleMPNN,0.5591537255823896,0.5941907684300095,Binding,0.7486963986178132
CP2C9_HUMAN,ProstT5,0.514394089340904,0.6053506193487825,Binding,0.7486963986178132
CP2C9_HUMAN,ISMC_600M,0.5901594043092038,0.644732297833501,Binding,0.7486963986178132
CP2C9_HUMAN,ESMC_600M,0.5776022460859956,0.6294228330970446,Binding,0.7486963986178132
CP2C9_HUMAN,SaProt_650M,0.5987696607830302,0.6623923065996773,Binding,0.7486963986178132
KCNE1_HUMAN,AMPLIFY_350M,0.08573252730570934,0.5500683796399515,Activity,0.05388452266867875
KCNE1_HUMAN,ESM3_sm_both,0.1514101353769881,0.19707849990745135,Activity,0.05388452266867875
KCNE1_HUMAN,ProteinMPNN,0.16023031086840175,0.13486469019512137,Activity,0.05388452266867875
KCNE1_HUMAN,SolubleMPNN,0.10675182317143043,0.026832926113745416,Activity,0.05388452266867875
KCNE1_HUMAN,ProstT5,0.12031006333033184,0.16340180130885137,Activity,0.05388452266867875
KCNE1_HUMAN,ISMC_600M,0.09086590631643486,0.5337529695039893,Activity,0.05388452266867875
KCNE1_HUMAN,ESMC_600M,0.07757572767530035,0.5648121465997414,Activity,0.05388452266867875
KCNE1_HUMAN,SaProt_650M,0.09887712288588414,0.5657859091801869,Activity,0.05388452266867875
KCNJ2_MOUSE,AMPLIFY_350M,0.23598818677378147,0.3087086448112476,Activity,0.2896062864223979
KCNJ2_MOUSE,ESM3_sm_both,0.34038084461905227,0.31620849420490765,Activity,0.2896062864223979
KCNJ2_MOUSE,ProteinMPNN,0.28313833644671604,0.18874395925217197,Activity,0.2896062864223979
KCNJ2_MOUSE,SolubleMPNN,0.22695181504197473,0.14654330077640704,Activity,0.2896062864223979
KCNJ2_MOUSE,ProstT5,0.2641237809924139,0.32403460975227827,Activity,0.2896062864223979
KCNJ2_MOUSE,ISMC_600M,0.3309377784081289,0.3772675676691199,Activity,0.2896062864223979
