model,protein,spearman_rho
ESMC_300M,P05798,0.5577700435504707
ESMC_300M,P06241,0.6885900007823432
ESMC_300M,P29160,0.3489565514881971
ESMC_300M,D4Z2G1,
ESMC_300M,P05230,0.024935828592602096
ESMC_300M,P01053,0.25486030867181436
ESMC_300M,P61626,0.3833135049586747
ESMC_300M,P37001,0.30977443609022554
ESMC_300M,P19515,0.2692866623874533
ESMC_300M,P00720,0.47758271939312225
ESMC_300M,P02945,0.5700284379720632
ESMC_300M,P04637,0.2076055226142754
ESMC_300M,Q93D82,-0.011441377357354373
ESMC_300M,P00644,0.3631205240181266
ESMC_300M,P06654,0.2738677034889686
ESMC_300M,P0AA25,0.2796365500928297
ESMC_300M,P00651,0.385367957631311
ESMC_300M,P0ABQ4,0.11663954365094444
ESMC_300M,P62942,0.20332676856263326
ESMC_300M,P41016,0.21504273504273502
ESMC_300M,P32081,-0.4019032522050732
ESMC_300M,Q13526,0.4319648929552895
ESMC_300M,P00044,0.6148007763075917
ESMC_300M,P00974,0.8554610034229023
ESMC_300M,P02417,0.35969339219799096
ESMC_300M,P00282,0.4980329089157394
ESMC_300M,P03051,0.20410912790494687
ESMC_300M,P00711,0.17552538820007643
ESMC_300M,P00698,0.6070731369894196
ESMC_300M,P01009,0.2267925262377795
ESMC_300M,P0AEX9,0.6401384083044982
ESMC_300M,P00509,0.6297970180165411
ESMC_300M,P39476,1.0
ESMC_300M,P0A7Y4,0.043264206208416235
ESMC_300M,P00648,0.6820246255025507
ESMC_300M,P03050,0.2157321421183935
ESMC_300M,P0A877,-0.5834900863115244
ESMC_300M,P07107,0.20149253731343283
ESMC_300M,P11961,0.6208436605292665
ESMC_600M,P05798,0.6870893369879454
ESMC_600M,P06241,0.6132458117793089
ESMC_600M,P29160,0.4870041324476891
ESMC_600M,D4Z2G1,
ESMC_600M,P05230,0.04840040516686533
ESMC_600M,P01053,0.3892402175913989
ESMC_600M,P61626,0.38238549490186247
ESMC_600M,P37001,0.17633805424424154
ESMC_600M,P19515,0.00038211692889578413
ESMC_600M,P00720,0.38270464066995347
ESMC_600M,P02945,0.4569811474456968
ESMC_600M,P04637,0.17086015273269176
ESMC_600M,Q93D82,-0.014723144789316068
ESMC_600M,P00644,0.43360932672824104
ESMC_600M,P06654,0.276315235461025
ESMC_600M,P0AA25,-0.11890243902439024
ESMC_600M,P00651,0.40896436140936826
ESMC_600M,P0ABQ4,0.18693171875546846
ESMC_600M,P62942,0.2364273332370755
ESMC_600M,P41016,0.2445280580759113
ESMC_600M,P32081,-0.4456354787875476
ESMC_600M,Q13526,0.1269391714247247
ESMC_600M,P00044,0.7204627145567226
ESMC_600M,P00974,0.8644999490551413
ESMC_600M,P02417,0.3991528923463934
ESMC_600M,P00282,0.5341333091590386
ESMC_600M,P03051,0.3053841569604307
ESMC_600M,P00711,0.1939633844631371
ESMC_600M,P00698,0.6388227762930281
ESMC_600M,P0AEX9,0.6903879627616174
ESMC_600M,P00509,0.6531228334986352
ESMC_600M,P39476,0.5
ESMC_600M,P0A7Y4,0.005238837075740829
ESMC_600M,P00648,0.6243400343683343
ESMC_600M,P03050,0.10994634597438793
ESMC_600M,P0A877,-0.542449193831195
ESMC_600M,P07107,0.3110438745018176
ESMC_600M,P11961,0.7043518383829934
AMPLIFY_350M,P05798,0.6488988044048594
AMPLIFY_350M,P06241,0.19922779922779926
AMPLIFY_350M,P29160,0.3183994714247181
AMPLIFY_350M,D4Z2G1,
AMPLIFY_350M,P05230,-0.05975073313782991
AMPLIFY_350M,P01053,0.40379524255545274
AMPLIFY_350M,P61626,0.22558301525798685
AMPLIFY_350M,P37001,0.35037593984962395
AMPLIFY_350M,P19515,0.15526859122713543
AMPLIFY_350M,P00720,0.4262701185879197
AMPLIFY_350M,P02945,0.5259038007342227
AMPLIFY_350M,P04637,0.20242374225916868
AMPLIFY_350M,Q93D82,0.01932101990630152
AMPLIFY_350M,P00644,0.3706323498942341
AMPLIFY_350M,P06654,0.2041052663598386
AMPLIFY_350M,P0AA25,0.1580554413568168
AMPLIFY_350M,P00651,0.3260378055355881
AMPLIFY_350M,P0ABQ4,0.4547901106897911
AMPLIFY_350M,P62942,0.2375533428165007
AMPLIFY_350M,P41016,0.06803418803418802
AMPLIFY_350M,P32081,-0.39777197760834065
AMPLIFY_350M,Q13526,0.2827401477272864
AMPLIFY_350M,P00044,0.48974511310379776
AMPLIFY_350M,P00974,0.8697701051192361
AMPLIFY_350M,P02417,0.3026514785014768
AMPLIFY_350M,P00282,0.4559387065881896
AMPLIFY_350M,P03051,0.4568292621778095
AMPLIFY_350M,P00711,0.3673672209370614
AMPLIFY_350M,P00698,0.5869967693041126
AMPLIFY_350M,P01009,0.11124674560644093
AMPLIFY_350M,P0AEX9,0.5658512651124209
AMPLIFY_350M,P00509,0.10383750117835444
AMPLIFY_350M,P39476,1.0
AMPLIFY_350M,P0A7Y4,0.08535615488078618
AMPLIFY_350M,P00648,0.6432044602900204
AMPLIFY_350M,P03050,0.09629997776424067
AMPLIFY_350M,P0A877,-0.12772518430939298
AMPLIFY_350M,P07107,0.31659609435800873
AMPLIFY_350M,P11961,0.49426359329494324
ISMC_300M,P05798,0.6401765371908686
ISMC_300M,P06241,0.5722380362452195
ISMC_300M,P29160,0.35164273106488186
ISMC_300M,D4Z2G1,
ISMC_300M,P05230,0.11844518581485997
ISMC_300M,P01053,0.3508497501033087
ISMC_300M,P61626,0.47022462514981833
ISMC_300M,P37001,0.21654135338345865
ISMC_300M,P19515,0.3759841026040805
ISMC_300M,P00720,0.5303976549101086
ISMC_300M,P02945,0.566543357724622
ISMC_300M,P04637,-0.00894798511341993
ISMC_300M,Q93D82,-0.013278563432333813
ISMC_300M,P00644,0.36909470606218114
ISMC_300M,P06654,0.300914619856744
ISMC_300M,P0AA25,0.24924127290882647
ISMC_300M,P00651,0.45527405177350455
ISMC_300M,P0ABQ4,0.2223221629529311
ISMC_300M,P62942,0.1406292768606444
ISMC_300M,P41016,0.2370041178274217
ISMC_300M,P32081,-0.38125649712380266
ISMC_300M,Q13526,0.5927428617102406
ISMC_300M,P00044,0.3602134655270609
ISMC_300M,P00974,0.7975022544131729
ISMC_300M,P02417,0.4721606194275928
ISMC_300M,P00282,0.588181912842113
ISMC_300M,P03051,0.20273901698163793
ISMC_300M,P00711,0.22381783841639166
ISMC_300M,P00698,0.3031924947765104
ISMC_300M,P01009,0.10928041013491313
ISMC_300M,P0AEX9,0.5711814137419673
ISMC_300M,P00509,0.5161777232489213
ISMC_300M,P39476,0.5
ISMC_300M,P0A7Y4,0.24980279248037257
ISMC_300M,P00648,0.6127395893960224
ISMC_300M,P03050,0.24853907282661267
ISMC_300M,P0A877,-0.46502806478389014
ISMC_300M,P07107,0.31921331478542564
ISMC_300M,P11961,0.7165873764906184
ISMC_600M,P05798,0.23527597500502728
ISMC_600M,P06241,0.5050856563195117
ISMC_600M,P29160,0.5407115976736231
ISMC_600M,D4Z2G1,
ISMC_600M,P05230,0.03959670094031075
ISMC_600M,P01053,0.49792081904953933
ISMC_600M,P61626,0.3590034021758274
ISMC_600M,P37001,0.06917293233082707
ISMC_600M,P19515,0.07161418526444512
ISMC_600M,P00720,0.5371679627066536
ISMC_600M,P02945,0.34828066273789576
ISMC_600M,P04637,0.05231926616607745
ISMC_600M,Q93D82,0.07571923936685683
ISMC_600M,P00644,0.3939829556443085
ISMC_600M,P06654,0.33316967758318333
ISMC_600M,P0AA25,0.3282689935872349
ISMC_600M,P00651,0.5090005779779071
ISMC_600M,P0ABQ4,0.20361477855576673
ISMC_600M,P62942,0.15871279314525902
ISMC_600M,P41016,0.2562875189206943
ISMC_600M,P32081,-0.3981087052797805
ISMC_600M,Q13526,0.3215334047716393
ISMC_600M,P00044,0.4660459449137961
ISMC_600M,P00974,0.7725601047130733
ISMC_600M,P02417,0.3255016654644849
ISMC_600M,P00282,0.6062317263855277
ISMC_600M,P03051,0.1503592854893288
ISMC_600M,P00711,0.35304304799604164
ISMC_600M,P00698,0.278906599423706
ISMC_600M,P0AEX9,0.7212061295106277
ISMC_600M,P00509,0.589299338388834
ISMC_600M,P39476,0.5
ISMC_600M,P0A7Y4,0.2350996207167216
ISMC_600M,P00648,0.662614998187424
ISMC_600M,P03050,0.2272401788443683
ISMC_600M,P0A877,-0.4755072090793576
ISMC_600M,P07107,0.19033690118999394
ISMC_600M,P11961,0.7785400072125701
SaProt_650M,P05798,0.7461287450534674
SaProt_650M,P06241,0.4880308880308881
SaProt_650M,P29160,0.6056771900034111
SaProt_650M,D4Z2G1,
SaProt_650M,P05230,0.1096041055718475
SaProt_650M,P01053,0.41218177785781923
SaProt_650M,P61626,0.4305343759450396
SaProt_650M,P37001,0.49624060150375937
SaProt_650M,P19515,0.10988003650817951
SaProt_650M,P02945,0.5663914277775031
SaProt_650M,P04637,0.2589218635503322
SaProt_650M,Q93D82,0.10099153693785039
SaProt_650M,P00644,0.35043991105435013
SaProt_650M,P06654,0.47547003417931694
SaProt_650M,P0AA25,0.08510677611520903
SaProt_650M,P00651,0.3373579218142084
SaProt_650M,P0ABQ4,0.22398292214451276
SaProt_650M,P62942,0.2546230440967283
SaProt_650M,P41016,0.30666666666666664
SaProt_650M,P32081,-0.44293013740992077
SaProt_650M,Q13526,0.4863885739282608
SaProt_650M,P00044,0.3406046259857688
SaProt_650M,P00974,0.8473618048687191
SaProt_650M,P02417,0.5623550789744296
SaProt_650M,P00282,0.7501512554215238
SaProt_650M,P03051,0.57999720875642
SaProt_650M,P00711,0.4400495647832902
SaProt_650M,P00698,0.46844895992862634
SaProt_650M,P01009,0.09810367017614412
SaProt_650M,P0AEX9,0.668643459997472
SaProt_650M,P00509,0.6982695731413979
SaProt_650M,P39476,0.5
SaProt_650M,P0A7Y4,0.19091751691570272
SaProt_650M,P00648,0.5330230906784189
SaProt_650M,P0A877,-0.39514015252065715
SaProt_650M,P07107,0.2847348313589224
SaProt_650M,P11961,0.7771892537673086
ESM2_650M,P05798,0.7602566996274083
ESM2_650M,P06241,0.6262548262548263
ESM2_650M,P29160,0.3690150694600116
ESM2_650M,D4Z2G1,
ESM2_650M,P05230,0.15505865102639294
ESM2_650M,P01053,0.39551825560972087
ESM2_650M,P61626,0.4543540926489465
ESM2_650M,P37001,0.24661654135338343
ESM2_650M,P19515,0.2507832265784737
ESM2_650M,P00720,0.38725707903546885
ESM2_650M,P02945,0.3691775025021696
ESM2_650M,P04637,0.051650649346063685
ESM2_650M,Q93D82,-0.0234730181589695
ESM2_650M,P00644,0.33901197810325095
ESM2_650M,P06654,0.2862684993717569
ESM2_650M,P0AA25,0.2735574946560291
ESM2_650M,P00651,0.400295307428494
ESM2_650M,P0ABQ4,0.019821869176377616
ESM2_650M,P62942,0.16993106466790678
ESM2_650M,P41016,0.11658119658119658
ESM2_650M,P32081,-0.361641165455393
ESM2_650M,Q13526,0.544610286355049
ESM2_650M,P00044,0.8078245462815972
ESM2_650M,P00974,0.8001112449544063
ESM2_650M,P02417,0.48855731672823344
ESM2_650M,P00282,0.6604154197595404
ESM2_650M,P03051,0.17334748036989633
ESM2_650M,P00711,0.4553771338937195
ESM2_650M,P00698,0.6566596630225309
ESM2_650M,P01009,0.2408937968152974
ESM2_650M,P0AEX9,0.5816654489408902
ESM2_650M,P00509,0.7140709320163651
ESM2_650M,P39476,1.0
ESM2_650M,P0A7Y4,-0.03404781166506025
ESM2_650M,P00648,0.5446943933875298
ESM2_650M,P03050,0.2654167904199987
ESM2_650M,P0A877,-0.5681334610613848
ESM2_650M,P07107,0.20185521684864122
ESM2_650M,P11961,0.8292530556944266
ESM2_3B,P05798,0.551113616633258
ESM2_3B,P06241,0.5570141570141571
ESM2_3B,P29160,0.4271546077437947
ESM2_3B,D4Z2G1,
ESM2_3B,P05230,0.22690615835777125
ESM2_3B,P01053,0.23128092493507432
ESM2_3B,P61626,0.28709919931142597
ESM2_3B,P37001,0.306766917293233
ESM2_3B,P19515,0.17009246263366312
ESM2_3B,P00720,0.20978851527973172
ESM2_3B,P02945,0.3700482041590143
ESM2_3B,P04637,0.08892603706183132
ESM2_3B,Q93D82,0.013042901053065638
ESM2_3B,P00644,0.3717656887517525
ESM2_3B,P06654,0.32257240075446486
ESM2_3B,P0AA25,0.4559291577600484
ESM2_3B,P00651,0.373840687864327
ESM2_3B,P0ABQ4,0.04727291822643165
ESM2_3B,P62942,0.2646897910055805
ESM2_3B,P41016,0.20957264957264954
ESM2_3B,P32081,-0.3847362019829367
ESM2_3B,Q13526,0.4928179654845933
ESM2_3B,P00044,0.7298162469782085
ESM2_3B,P00974,0.8406684164822014
ESM2_3B,P02417,0.4353261439604853
ESM2_3B,P00282,0.5454728886868876
ESM2_3B,P03051,0.24763925767128042
ESM2_3B,P00711,0.5784921244903928
ESM2_3B,P00698,0.6126103495324681
ESM2_3B,P0AEX9,0.6553002423922009
ESM2_3B,P00509,0.5387510930703028
ESM2_3B,P39476,0.5
ESM2_3B,P0A7Y4,0.031642116864015454
ESM2_3B,P00648,0.5338006975214689
ESM2_3B,P03050,0.15915079592440723
ESM2_3B,P0A877,-0.2968947548360299
ESM2_3B,P07107,0.2375478975501492
ESM2_3B,P11961,0.7360862522458996
ESM3_sm_structure,P05798,0.6418039800555001
ESM3_sm_structure,P06241,0.31402831402831405
ESM3_sm_structure,P29160,0.2722298380817138
ESM3_sm_structure,D4Z2G1,
ESM3_sm_structure,P05230,0.27382697947214074
ESM3_sm_structure,P01053,0.557455070795039
ESM3_sm_structure,P61626,0.3595368635431679
ESM3_sm_structure,P37001,0.3578947368421052
ESM3_sm_structure,P19515,0.23977994058599952
ESM3_sm_structure,P02945,0.3247717180030878
ESM3_sm_structure,P04637,-0.16447973772338725
ESM3_sm_structure,Q93D82,-0.06535840240103204
ESM3_sm_structure,P00644,0.35005134174405295
ESM3_sm_structure,P06654,0.4058439745544098
ESM3_sm_structure,P0AA25,0.0790277206784084
ESM3_sm_structure,P00651,0.47003091504705974
ESM3_sm_structure,P0ABQ4,-0.011177798402074526
ESM3_sm_structure,P62942,0.36667031403873507
ESM3_sm_structure,P41016,0.059829059829059825
ESM3_sm_structure,P32081,-0.4642055676217111
ESM3_sm_structure,Q13526,0.5385891101356266
ESM3_sm_structure,P00044,0.837700065163746
ESM3_sm_structure,P00974,0.8211438290148086
ESM3_sm_structure,P02417,0.5554995491482803
ESM3_sm_structure,P00282,0.6767493583856542
ESM3_sm_structure,P03051,0.19485299485187596
ESM3_sm_structure,P00711,0.1740420750603575
ESM3_sm_structure,P00698,0.2510483458370187
ESM3_sm_structure,P01009,-0.43006020390135513
ESM3_sm_structure,P0AEX9,0.3217198022604244
ESM3_sm_structure,P00509,0.5161777232489213
ESM3_sm_structure,P39476,0.5
ESM3_sm_structure,P0A7Y4,0.05285955625683679
ESM3_sm_structure,P00648,0.582318324483433
ESM3_sm_structure,P0A877,-0.4698880633767577
ESM3_sm_structure,P07107,0.45049406037948503
ESM3_sm_structure,P11961,0.5134449940049342
ESM3_sm_both,P05798,0.29033255120072904
ESM3_sm_both,P06241,0.3343629343629344
ESM3_sm_both,P29160,0.46990426824657644
ESM3_sm_both,D4Z2G1,
ESM3_sm_both,P05230,0.3108504398826979
ESM3_sm_both,P01053,0.6080055513621335
ESM3_sm_both,P61626,0.5537679707459545
ESM3_sm_both,P37001,0.3609022556390977
ESM3_sm_both,P19515,0.3192481171983129
ESM3_sm_both,P02945,0.4880282786614765
ESM3_sm_both,P04637,-0.0016715420500344235
ESM3_sm_both,Q93D82,0.018759982759231512
ESM3_sm_both,P00644,0.48367600231681507
ESM3_sm_both,P06654,0.45191820777960695
ESM3_sm_both,P0AA25,0.16413449679361744
ESM3_sm_both,P00651,0.6283894982055848
ESM3_sm_both,P0ABQ4,-0.0418205043534097
ESM3_sm_both,P62942,0.47893642630484734
ESM3_sm_both,P41016,0.21435897435897436
ESM3_sm_both,P32081,-0.4772851240079231
ESM3_sm_both,Q13526,0.5718076331766776
ESM3_sm_both,P00044,0.6377000637582493
ESM3_sm_both,P00974,0.8559335749763551
ESM3_sm_both,P02417,0.7014820077992258
ESM3_sm_both,P00282,0.7239362921944276
ESM3_sm_both,P03051,0.3519084187960301
ESM3_sm_both,P00711,0.21359709211952965
ESM3_sm_both,P00698,0.4531110343051568
ESM3_sm_both,P01009,-0.2638002997081004
ESM3_sm_both,P0AEX9,0.6750679721777877
ESM3_sm_both,P00509,0.7494358780698624
ESM3_sm_both,P39476,0.5
ESM3_sm_both,P0A7Y4,0.12141528514999864
ESM3_sm_both,P00648,0.6946309128500603
ESM3_sm_both,P0A877,-0.4389281201013761
ESM3_sm_both,P07107,0.5531357240917312
ESM3_sm_both,P11961,0.6343563234804123
ESM3_sm_sequence,P05798,0.5395151211751754
ESM3_sm_sequence,P06241,0.6203346203346204
ESM3_sm_sequence,P29160,0.4145007082349713
ESM3_sm_sequence,D4Z2G1,
ESM3_sm_sequence,P05230,0.2349706744868035
ESM3_sm_sequence,P01053,0.44937953095510813
ESM3_sm_sequence,P61626,0.47670603817282137
ESM3_sm_sequence,P37001,0.3609022556390977
ESM3_sm_sequence,P19515,0.2104378446060684
ESM3_sm_sequence,P00720,0.5576755736662862
ESM3_sm_sequence,P02945,0.4127125853444066
ESM3_sm_sequence,P04637,-0.35369829778728396
ESM3_sm_sequence,Q93D82,0.06052248854833346
ESM3_sm_sequence,P00644,0.41220364890325595
ESM3_sm_sequence,P06654,0.3231041864824412
ESM3_sm_sequence,P0AA25,0.12766016417281356
ESM3_sm_sequence,P00651,0.32459202981522084
ESM3_sm_sequence,P0ABQ4,0.1432466011877628
ESM3_sm_sequence,P62942,0.34609913557281974
ESM3_sm_sequence,P41016,0.2300854700854701
ESM3_sm_sequence,P32081,-0.38851634971595694
ESM3_sm_sequence,Q13526,0.6197729352636022
ESM3_sm_sequence,P00044,0.4552460020136972
ESM3_sm_sequence,P00974,0.8459596325980258
ESM3_sm_sequence,P02417,0.5256578310815124
ESM3_sm_sequence,P00282,0.5878201369768123
ESM3_sm_sequence,P03051,0.12642635786375897
ESM3_sm_sequence,P00711,-0.013844255970710253
ESM3_sm_sequence,P00698,0.5528956998555448
ESM3_sm_sequence,P01009,0.12786334811474476
ESM3_sm_sequence,P0AEX9,0.7462317994059
ESM3_sm_sequence,P00509,0.7614750086412659
ESM3_sm_sequence,P39476,0.5
ESM3_sm_sequence,P0A7Y4,-0.056803318225762685
ESM3_sm_sequence,P00648,0.6840132194128598
ESM3_sm_sequence,P03050,0.2622857047036356
ESM3_sm_sequence,P0A877,-0.6113663698981229
ESM3_sm_sequence,P07107,0.31800766930100616
ESM3_sm_sequence,P11961,0.7460194776135735
ISM_650M,P05798,0.7722253598341533
ISM_650M,P06241,0.43037323037323044
ISM_650M,P29160,0.4367305316964178
ISM_650M,D4Z2G1,
ISM_650M,P05230,0.19354838709677416
ISM_650M,P01053,0.4639007742290171
ISM_650M,P61626,0.47759774862090537
ISM_650M,P37001,0.27669172932330827
ISM_650M,P19515,0.3462978619298119
ISM_650M,P00720,0.5178939545512219
ISM_650M,P02945,0.46147187812771195
ISM_650M,P04637,0.004178855125086058
ISM_650M,Q93D82,0.06319024443497762
ISM_650M,P00644,0.37918796642665203
ISM_650M,P06654,0.32113916598589887
ISM_650M,P0AA25,0.3282689935872349
ISM_650M,P00651,0.43634741688105644
ISM_650M,P0ABQ4,0.23488774989055666
ISM_650M,P62942,0.23492723492723494
ISM_650M,P41016,0.17264957264957262
ISM_650M,P32081,-0.3866465433845161
ISM_650M,Q13526,0.6063018291455724
ISM_650M,P00044,0.5847065838363424
ISM_650M,P00974,0.8581029735838431
ISM_650M,P02417,0.47141849216286
ISM_650M,P00282,0.6616253411392525
ISM_650M,P03051,0.24307748187207268
ISM_650M,P00711,0.44796056819512464
ISM_650M,P00698,0.47706237628860426
ISM_650M,P01009,0.2923395492138878
ISM_650M,P0AEX9,0.6587595951046785
ISM_650M,P00509,0.6335592463201046
ISM_650M,P39476,0.5
ISM_650M,P0A7Y4,0.24877250499984568
ISM_650M,P00648,0.628845133925922
ISM_650M,P03050,0.2447974454585832
ISM_650M,P0A877,-0.4325141079487074
ISM_650M,P07107,0.23795120467671993
ISM_650M,P11961,0.7628032032348154
ProteinMPNN,P05798,0.7392806972032162
ProteinMPNN,P06241,0.19356499356499354
ProteinMPNN,P29160,0.6135431275359229
ProteinMPNN,D4Z2G1,
ProteinMPNN,P05230,0.30425219941348974
ProteinMPNN,P01053,0.5963690814796047
ProteinMPNN,P61626,0.6972070930010199
ProteinMPNN,P37001,-0.007518796992481202
ProteinMPNN,P19515,0.4888821095822896
ProteinMPNN,P02945,0.2951678616703667
ProteinMPNN,P04637,0.03794400453578141
ProteinMPNN,Q93D82,0.09858732299637168
ProteinMPNN,P00644,0.6078447858924004
ProteinMPNN,P06654,0.4021144768436338
ProteinMPNN,P0AA25,-0.12158110873601292
ProteinMPNN,P00651,0.6288509159886808
ProteinMPNN,P0ABQ4,-0.13534445065805578
ProteinMPNN,P62942,0.47324652587810484
ProteinMPNN,P41016,0.4523076923076923
ProteinMPNN,P32081,-0.3228647547745462
ProteinMPNN,Q13526,0.6125781399505634
ProteinMPNN,P00044,0.8494368761531617
ProteinMPNN,P00974,0.7234415234361088
ProteinMPNN,P02417,0.5819135023019735
ProteinMPNN,P00282,0.6711030586136644
ProteinMPNN,P03051,0.6679743134554276
ProteinMPNN,P00711,0.4088999888491922
ProteinMPNN,P00698,0.5238820868535138
ProteinMPNN,P01009,0.056890740791141946
ProteinMPNN,P0AEX9,0.43983198772930526
ProteinMPNN,P00509,0.3574116888385389
ProteinMPNN,P39476,0.5
ProteinMPNN,P0A7Y4,0.2543857928689502
ProteinMPNN,P00648,0.531911880899616
ProteinMPNN,P0A877,0.5965031301981887
ProteinMPNN,P07107,0.530953832130342
ProteinMPNN,P11961,0.7672560283996348
SolubleMPNN,P05798,0.7585292641336514
SolubleMPNN,P06241,0.08314028314028314
SolubleMPNN,P29160,0.6949384811332192
SolubleMPNN,D4Z2G1,
SolubleMPNN,P05230,0.2133431085043988
SolubleMPNN,P01053,0.512588932733322
SolubleMPNN,P61626,0.7064359015765439
SolubleMPNN,P37001,0.14736842105263157
SolubleMPNN,P19515,0.42225109996119614
SolubleMPNN,P02945,0.16369191148681103
SolubleMPNN,P04637,-0.12436272852256108
SolubleMPNN,Q93D82,0.05512877119206385
SolubleMPNN,P00644,0.614671957100111
SolubleMPNN,P06654,0.4710102869381681
SolubleMPNN,P0AA25,0.44377104688644714
SolubleMPNN,P00651,0.6330651984076235
SolubleMPNN,P0ABQ4,-0.08723862196835121
SolubleMPNN,P62942,0.3334062807747018
SolubleMPNN,P41016,0.4974358974358974
SolubleMPNN,P32081,-0.40910549666730683
SolubleMPNN,Q13526,0.5814517205111763
SolubleMPNN,P00044,0.8591582751544958
SolubleMPNN,P00974,0.6992606657867907
SolubleMPNN,P02417,0.5365460255112792
SolubleMPNN,P00282,0.6075821861787772
SolubleMPNN,P03051,0.6425587054312698
SolubleMPNN,P00711,0.31199019705422043
SolubleMPNN,P00698,0.5317147549469441
SolubleMPNN,P01009,0.014739020303975718
SolubleMPNN,P0AEX9,0.6127996233531894
SolubleMPNN,P00509,0.4100828850884288
SolubleMPNN,P39476,0.5
SolubleMPNN,P0A7Y4,0.16738640383444486
SolubleMPNN,P00648,0.5482908250366358
SolubleMPNN,P0A877,0.5442042618764287
