model,protein,spearman_rho
ESMC_300M,POLG,-0.05504435673773192
ESMC_300M,GCN4,0.46711790921007085
ESMC_300M,HCP,0.6558062879206515
ESMC_300M,SOX30,0.2861617255966012
ESMC_300M,PA,0.018705410334839977
ESMC_300M,SCN5A,0.22386500375298024
ESMC_300M,HEM3,0.4060673540125507
ESMC_300M,SPIKE,0.004484076736583731
ESMC_300M,MBD11,0.6015722526892241
ESMC_300M,A0A192B1T2,0.4798486713062679
ESMC_300M,BBC1,0.5549164968938598
ESMC_300M,P53,0.46334029603902466
ESMC_300M,PABP,0.6872434098278105
ESMC_300M,B2L11,0.1617410241146418
ESMC_300M,VKOR1,0.4474640239056474
ESMC_300M,DNJA1,0.42261372547429665
ESMC_300M,RS15,0.3726411588991097
ESMC_300M,RNC,0.6117786775492544
ESMC_300M,CCR5,0.34971519272171625
ESMC_300M,NPC1,0.6487330202394781
ESMC_300M,HIS7,0.05926269017259663
ESMC_300M,Q2N0S5,0.511573292652001
ESMC_300M,A0A140D2T1,-0.04903676334455786
ESMC_300M,VILI,0.6257150858088721
ESMC_300M,MET,0.5826441436125331
ESMC_300M,AMFR,0.5797063669928836
ESMC_300M,RASH,0.42325099545166783
ESMC_300M,PR40A,0.5224458764667221
ESMC_300M,SRBS1,0.6488792899907885
ESMC_300M,NUD15,0.6567414143585545
ESMC_300M,GAL4,0.43587775475644625
ESMC_300M,RPC1,0.12072852936777961
ESMC_300M,OBSCN,0.6967236827383376
ESMC_300M,CSN4,0.4821334410050011
ESMC_300M,Q837P5,0.33492164673369357
ESMC_300M,CAPSD,0.22674228489784473
ESMC_300M,ENV,
ESMC_300M,YAIA,0.35885006963137384
ESMC_300M,LYAM1,0.3231572803430438
ESMC_300M,PSAE,0.4597192583549244
ESMC_300M,CCDB,0.47608078128950165
ESMC_300M,SPG1,0.2843109626625504
ESMC_300M,PIN1,0.641594357013618
ESMC_300M,CAR11,0.2830508852767021
ESMC_300M,PITX2,0.39561458195858945
ESMC_300M,ANCSZ,0.5917969713156855
ESMC_300M,P53,0.48305333727899785
ESMC_300M,HXK4,0.39451843818503507
ESMC_300M,SRC,0.4723408345986429
ESMC_300M,BCHB,0.3621139959901905
ESMC_300M,F7YBW8,0.3121442476461165
ESMC_300M,TRPC,0.6282205219031829
ESMC_300M,POLG,-0.04466234199618507
ESMC_300M,SC6A4,0.5516127343033862
ESMC_300M,DLG4,0.5703387220915669
ESMC_300M,SPG2,0.18025694606544454
ESMC_300M,HSP82,0.4932860181559135
ESMC_300M,YNZC,0.416386550639046
ESMC_300M,DYR,0.5013081822227242
ESMC_300M,HSP82,0.3760874791354706
ESMC_300M,PTEN,0.5545681427004951
ESMC_300M,SQSTM,0.570573620407339
ESMC_300M,RASK,0.5236242488955014
ESMC_300M,BLAT,0.5106976168980771
ESMC_300M,ADRB2,0.539476410940472
ESMC_300M,SYUA,0.18225325727042654
ESMC_300M,PPARG,0.5723181375802193
ESMC_300M,NUSG,0.5021119901324677
ESMC_300M,OXDA,0.3338593102651591
ESMC_300M,SUMO1,0.38661095980669474
ESMC_300M,PKN1,0.5206354509288222
ESMC_300M,MTHR,0.4770075468524956
ESMC_300M,BRCA2,0.437132878440618
ESMC_300M,RAF1,0.47264307624726115
ESMC_300M,RASK,0.04867629986823737
ESMC_300M,UBE4B,
ESMC_300M,RFAH,0.3735879314829834
ESMC_300M,A0A2Z5U3Z0,0.0509378397451545
ESMC_300M,TCRG1,0.7406601079969697
ESMC_300M,VRPI,0.6266283574056732
ESMC_300M,VKOR1,0.41450238007835705
ESMC_300M,PHOT,0.6488108708744034
ESMC_300M,C6KNH7,-0.008007774927525397
ESMC_300M,GRB2,0.6975824462298402
ESMC_300M,NKX31,0.3693405619480289
ESMC_300M,RCD1,0.45770871149111625
ESMC_300M,CALM1,0.2702265552644956
ESMC_300M,SBI,0.5719253471641155
ESMC_300M,YAP1,0.5287277030197403
ESMC_300M,SERC,0.5478541413212409
ESMC_300M,TPOR,0.3134934106991996
ESMC_300M,KCNH2,0.4366866661599719
ESMC_300M,OTC,0.525164102857732
ESMC_300M,AMIE,0.4565399849683926
ESMC_300M,CAS9,0.16548328285151812
ESMC_300M,Q837P4,0.5122655941072796
ESMC_300M,UBC9,0.49810518636071277
ESMC_300M,HSP82,0.38255412847723946
ESMC_300M,SPIKE,-0.038466316863376135
ESMC_300M,HXK4,0.5046876649033308
ESMC_300M,CCDB,0.54257024145917
ESMC_300M,TPK1,0.27191602784189867
ESMC_300M,FECA,0.5734155839366056
ESMC_300M,NUSA,0.5597220694015909
ESMC_300M,RPC1,0.06071418249575588
ESMC_300M,CASP3,0.659320948371705
ESMC_300M,KCNE1,0.07786759705169226
ESMC_300M,ILF3,0.3962913276664224
ESMC_300M,F7YBW8,0.35686782508562304
ESMC_300M,SCIN,0.30040999306803856
ESMC_300M,RL20,0.35831889533944905
ESMC_300M,REV,0.14675026251372755
ESMC_300M,CASP7,0.6481645201328385
ESMC_300M,CUE1,0.45628171356910463
ESMC_300M,ERBB2,0.46552593989705277
ESMC_300M,A4,
ESMC_300M,DN7A,0.2802890768039291
ESMC_300M,CBPA2,0.4862542923844195
ESMC_300M,VG08,0.5597530423288697
ESMC_300M,Q8WTC7,-0.020333449239430493
ESMC_300M,ESTA,0.3395661988591545
ESMC_300M,LGK,0.41822548076026733
ESMC_300M,SAV1,0.6868357849821881
ESMC_300M,DLG4,0.485260019320784
ESMC_300M,Q59976,0.6523283728706287
ESMC_300M,MAFG,0.4720526508268088
ESMC_300M,A0A2Z5U3Z0,0.09262198846259914
ESMC_300M,D7PM05,-0.012567833106112524
ESMC_300M,UBE4B,0.4601354674653129
ESMC_300M,AACC1,0.5188435548013548
ESMC_300M,KCNJ2,0.3646970431639192
ESMC_300M,DYR,0.5320186795808571
ESMC_300M,KCNJ2,0.32956272869036823
ESMC_300M,PPM1D,0.6131721031846697
ESMC_300M,RCRO,0.5030757478783661
ESMC_300M,CBS,0.39364339811356364
ESMC_300M,GFP,0.05782415231071262
ESMC_300M,A0A247D711,0.09418452304174817
ESMC_300M,ISDH,0.3435725501429718
ESMC_300M,RBP1,0.5370269865541437
ESMC_300M,CD19,0.06126493017955725
ESMC_300M,MYO3,0.5724144896319349
ESMC_300M,PAI1,0.46178068006752243
ESMC_300M,TADBP,-0.014115378698895144
ESMC_300M,Q53Z42,0.3039126209877287
ESMC_300M,RL40A,0.4498598192672533
ESMC_300M,CBX4,0.608013949806716
ESMC_300M,PRKN,0.42492241480771603
ESMC_300M,BRCA1,0.5169247776581126
ESMC_300M,SRC,0.4657459379709888
ESMC_300M,RDRP,0.07363318398314948
ESMC_300M,RL40A,0.33180995419396114
ESMC_300M,ACE2,0.23041302908305691
ESMC_300M,MK01,0.19602721596746214
ESMC_300M,THO1,0.5335202335592437
ESMC_300M,P84126,0.6148912498793295
ESMC_300M,S22A1,0.512941116632155
ESMC_300M,NPC1,0.6534351230876202
ESMC_300M,NCAP,0.023940773826668937
ESMC_300M,I6TAH8,0.00822877747551753
ESMC_300M,MLAC,0.37731234529509616
ESMC_300M,GDIA,0.45896263575292584
ESMC_300M,P53,0.6884070317812956
ESMC_300M,BLAT,0.7083371322424243
ESMC_300M,TRPC,0.010864930937533145
ESMC_300M,TNKS2,0.5892171062079363
ESMC_300M,POLG,
ESMC_300M,P53,0.44255711879192855
ESMC_300M,SPG1,0.5752218530236646
ESMC_300M,S22A1,0.6019458695898763
ESMC_300M,SDA,0.6333481323426096
ESMC_300M,RPC1,0.6946291147436637
ESMC_300M,OTU7A,0.6328921178954156
ESMC_300M,SRC,0.5510530734433368
ESMC_300M,Q53Z42,0.5194588929285523
ESMC_300M,RL40A,0.3978844303355271
ESMC_300M,EPHB2,0.6501672964634825
ESMC_300M,NRAM,-0.06803187272939692
ESMC_300M,KCNE1,0.6076566027154947
ESMC_300M,CAR11,0.4389644462259084
ESMC_300M,BLAT,0.7069094382692751
ESMC_300M,A4D664,0.03287210585129426
ESMC_300M,BLAT,0.6776419612005755
ESMC_300M,PTEN,0.4797385202604633
ESMC_300M,DOCK1,0.6277551714776026
ESMC_300M,POLG,0.06228736361998399
ESMC_300M,RAD,0.27390215451583305
ESMC_300M,GLPA,0.449603382741013
ESMC_300M,HECD1,0.7043585096437984
ESMC_300M,MSH2,0.3853571705892285
ESMC_300M,SPA,0.09075587378245958
ESMC_300M,TPMT,0.5612437701618673
ESMC_300M,TAT,0.4509519974504793
ESMC_300M,MTH3,0.6428647030094112
ESMC_300M,OXDA,0.3590794670910892
ESMC_300M,SR43C,0.6368855174720479
ESMC_300M,R1AB,-0.0414255946079619
ESMC_300M,OPSD,0.5061624999459522
ESMC_300M,CP2C9,0.6341102400133687
ESMC_300M,CATR,0.34120310709288115
ESMC_300M,IF1,0.5458190411629215
ESMC_300M,ENV,-0.1831040157418806
ESMC_300M,HMDH,0.48962013690679357
ESMC_300M,A0A1I9GEU1,0.05956424471921691
ESMC_300M,SPTN1,0.5943355058850491
ESMC_300M,KKA2,0.6521483512266464
ESMC_300M,Q6WV12,0.023271405682372712
ESMC_300M,RD23A,0.5410804883369811
ESMC_300M,UBR5,0.44195132325671976
ESMC_300M,FKBP3,0.1577674761871971
ESMC_300M,ARGR,0.5865919800107641
ESMC_300M,SHOC2,0.2881379219200247
ESMC_300M,ODP2,0.43534080658829505
ESMC_300M,ENVZ,0.18045606467351988
ESMC_300M,CP2C9,0.6087001714644378
ESMC_300M,AICDA,0.2905407546444182
ESMC_300M,A4GRB6,0.6796682807412135
ESMC_600M,POLG,-0.09664876282564475
ESMC_600M,GCN4,0.6241016299776443
ESMC_600M,HCP,0.6797014780819737
ESMC_600M,SOX30,0.25071811638314007
ESMC_600M,PA,-0.005325981996212332
ESMC_600M,SCN5A,0.127719565178243
ESMC_600M,HEM3,0.39968449509768944
ESMC_600M,SPIKE,0.018517025352903026
ESMC_600M,MBD11,0.4990435824732354
ESMC_600M,A0A192B1T2,0.4600234353865693
ESMC_600M,BBC1,0.5402023075167476
ESMC_600M,P53,0.4610627881520049
ESMC_600M,PABP,0.7235757279856564
ESMC_600M,B2L11,0.03767295706688951
ESMC_600M,VKOR1,0.45906973413077806
ESMC_600M,DNJA1,0.3675298932507728
ESMC_600M,RS15,0.3522526624778765
ESMC_600M,RNC,0.6271890956926688
ESMC_600M,CCR5,0.3526913842813202
ESMC_600M,NPC1,0.593985279823352
ESMC_600M,HIS7,0.03409963124619956
ESMC_600M,Q2N0S5,0.49560952116581364
ESMC_600M,A0A140D2T1,-0.035013082412074174
ESMC_600M,VILI,0.6360023616843021
ESMC_600M,MET,0.597637387302443
ESMC_600M,AMFR,0.5330867383322417
ESMC_600M,RASH,0.3643999418278701
ESMC_600M,PR40A,0.5000749856893765
ESMC_600M,SRBS1,0.6437786339576227
ESMC_600M,NUD15,0.6528596642528773
ESMC_600M,GAL4,0.5525153021532703
ESMC_600M,RPC1,0.12913924753257908
ESMC_600M,OBSCN,0.7197624989956002
ESMC_600M,CSN4,0.4721529240273978
ESMC_600M,Q837P5,0.3648046703462216
ESMC_600M,CAPSD,0.21724705461213695
ESMC_600M,ENV,0.014572137212821688
ESMC_600M,YAIA,0.4948930998466919
ESMC_600M,LYAM1,0.3426137275002017
ESMC_600M,PSAE,0.39021321786792146
ESMC_600M,CCDB,0.47371353103931063
ESMC_600M,SPG1,0.27207440814038636
ESMC_600M,PIN1,0.6374706860080372
ESMC_600M,CAR11,0.30544255358199573
ESMC_600M,PITX2,0.3764924723393136
ESMC_600M,ANCSZ,0.5608348739302932
ESMC_600M,P53,0.47610892353862994
ESMC_600M,HXK4,0.3972048805594028
ESMC_600M,SRC,0.46290928472498954
ESMC_600M,BCHB,0.4212168763020178
ESMC_600M,F7YBW8,0.4727294417952205
ESMC_600M,TRPC,0.6726579136015647
ESMC_600M,POLG,-0.03813430326843226
ESMC_600M,SC6A4,0.558759716885245
ESMC_600M,DLG4,0.5434606761701043
ESMC_600M,SPG2,0.21622336543344745
ESMC_600M,HSP82,0.4805462155722799
ESMC_600M,YNZC,0.3455814617777549
ESMC_600M,DYR,0.509498506816952
ESMC_600M,HSP82,0.38751305439870587
ESMC_600M,PTEN,0.543571780225337
ESMC_600M,SQSTM,0.5813400071015314
ESMC_600M,RASK,0.5023871013624993
ESMC_600M,BLAT,0.5279661275330574
ESMC_600M,ADRB2,0.5493701746569314
ESMC_600M,SYUA,0.1855542569031751
ESMC_600M,PPARG,0.633594099367982
ESMC_600M,NUSG,0.5025111380447748
ESMC_600M,OXDA,0.34869804999043824
ESMC_600M,SUMO1,0.371877226464749
ESMC_600M,PKN1,0.36167942046245194
ESMC_600M,MTHR,0.3265455843946583
ESMC_600M,BRCA2,0.480959848967555
ESMC_600M,RAF1,0.45058257891155423
ESMC_600M,RASK,0.0563588808594677
ESMC_600M,UBE4B,0.6264923620389409
ESMC_600M,RFAH,0.3960362231382677
ESMC_600M,A0A2Z5U3Z0,0.057708056568378546
ESMC_600M,TCRG1,0.742508662711319
ESMC_600M,VRPI,0.6357113724183707
ESMC_600M,VKOR1,0.4352862148412559
ESMC_600M,PHOT,0.6590136924782052
ESMC_600M,C6KNH7,-0.010326655951621801
ESMC_600M,GRB2,0.6179290277779731
ESMC_600M,NKX31,0.3658201841044006
ESMC_600M,RCD1,0.48801395043715756
ESMC_600M,CALM1,0.25061000089698143
ESMC_600M,SBI,0.574852781664149
ESMC_600M,YAP1,0.43169539323244016
ESMC_600M,SERC,0.5841366165361311
ESMC_600M,TPOR,0.2981002252423917
ESMC_600M,KCNH2,0.38593180567621166
ESMC_600M,OTC,0.5829506443706111
ESMC_600M,AMIE,0.5024002466273347
ESMC_600M,CAS9,0.1737007816355266
ESMC_600M,Q837P4,0.5210158578958878
ESMC_600M,UBC9,0.4950772530681538
ESMC_600M,HSP82,0.41522291450432
ESMC_600M,SPIKE,-0.02037297796805677
ESMC_600M,HXK4,0.5197802582344729
ESMC_600M,CCDB,0.5356680196958797
ESMC_600M,TPK1,0.3038315395722834
ESMC_600M,FECA,0.5653568287213508
ESMC_600M,NUSA,0.47003038464252406
ESMC_600M,RPC1,0.09453117387915307
ESMC_600M,CASP3,0.6613232821464767
ESMC_600M,KCNE1,0.07777485989775919
ESMC_600M,ILF3,0.4147105555463751
ESMC_600M,F7YBW8,0.347058518239651
ESMC_600M,SCIN,0.3180000024752776
ESMC_600M,RL20,0.3693853884042028
ESMC_600M,REV,0.3909449737124079
ESMC_600M,CASP7,0.6598517721456396
ESMC_600M,CUE1,0.5006178339109764
ESMC_600M,ERBB2,0.47716486310720285
ESMC_600M,A4,
ESMC_600M,DN7A,0.30670764390752714
ESMC_600M,CBPA2,0.44298994051095264
ESMC_600M,VG08,0.575899831454741
ESMC_600M,Q8WTC7,-0.03667705178159166
ESMC_600M,ESTA,0.31449671207585805
ESMC_600M,LGK,0.4110645942005695
ESMC_600M,SAV1,0.6632443096700239
ESMC_600M,DLG4,0.4097205697218696
ESMC_600M,Q59976,0.6570007866359946
ESMC_600M,MAFG,0.5718322819742362
ESMC_600M,A0A2Z5U3Z0,0.08835872531792748
ESMC_600M,D7PM05,-0.014770417635607174
ESMC_600M,UBE4B,
ESMC_600M,AACC1,0.5001794765783174
ESMC_600M,KCNJ2,0.38274017474173316
ESMC_600M,DYR,0.5186688511552924
ESMC_600M,KCNJ2,0.3103655164906372
ESMC_600M,PPM1D,0.6178743861735332
ESMC_600M,RCRO,0.482286572166516
ESMC_600M,CBS,0.3937141364492798
ESMC_600M,GFP,0.07177299577502737
ESMC_600M,A0A247D711,0.11540284660071974
ESMC_600M,ISDH,0.2881120571914221
ESMC_600M,RBP1,0.5973052510876922
ESMC_600M,CD19,0.05517898344135256
ESMC_600M,MYO3,0.552604111846129
ESMC_600M,PAI1,0.4673021486592743
ESMC_600M,TADBP,0.08667218369823207
ESMC_600M,Q53Z42,0.33304841845002336
ESMC_600M,RL40A,0.42397986040389846
ESMC_600M,CBX4,0.5579374727755693
ESMC_600M,PRKN,0.5865295264940568
ESMC_600M,BRCA1,0.5430274386717248
ESMC_600M,SRC,0.4584432492954865
ESMC_600M,RDRP,0.08231741980913898
ESMC_600M,RL40A,0.291057834252903
ESMC_600M,ACE2,0.28308709803844306
ESMC_600M,MK01,0.1579960905442716
ESMC_600M,THO1,0.5178664468960411
ESMC_600M,P84126,0.6377175632894577
ESMC_600M,S22A1,0.557622066911084
ESMC_600M,NPC1,0.6938077274263749
ESMC_600M,NCAP,0.03077901640323341
ESMC_600M,I6TAH8,0.021197260610230816
ESMC_600M,MLAC,0.4340921652512735
ESMC_600M,GDIA,0.4702037624172831
ESMC_600M,P53,0.6970027800120552
ESMC_600M,BLAT,0.7396943614707625
ESMC_600M,TRPC,0.028667838911259413
ESMC_600M,TNKS2,0.6002436846087832
ESMC_600M,POLG,
ESMC_600M,P53,0.4402423903337103
ESMC_600M,SPG1,0.5794414414006888
ESMC_600M,S22A1,0.6213885732851302
ESMC_600M,SDA,0.6555694404689935
ESMC_600M,RPC1,0.6385707238925487
ESMC_600M,OTU7A,0.6690404834879191
ESMC_600M,SRC,0.5364713837568557
ESMC_600M,Q53Z42,0.5329882869750091
ESMC_600M,RL40A,0.3895302948189005
ESMC_600M,EPHB2,0.6252461436177432
ESMC_600M,NRAM,-0.07026861089266423
ESMC_600M,KCNE1,0.5647695070219038
ESMC_600M,CAR11,0.46570487544344746
ESMC_600M,BLAT,0.7361440865641488
ESMC_600M,A4D664,0.04459557974633258
ESMC_600M,BLAT,0.7062683641617682
ESMC_600M,PTEN,0.4560293602642341
ESMC_600M,DOCK1,0.6557931974433837
ESMC_600M,POLG,0.06773648795958609
ESMC_600M,RAD,0.25579301474376537
ESMC_600M,GLPA,0.47746326904930203
ESMC_600M,HECD1,0.7433268673015381
ESMC_600M,MSH2,0.38974348130063907
ESMC_600M,SPA,0.2036351127077135
ESMC_600M,TPMT,0.5607497048023429
ESMC_600M,TAT,-0.031158732104047134
ESMC_600M,MTH3,0.6634881935940804
ESMC_600M,OXDA,0.37878264074521745
ESMC_600M,SR43C,0.6871567258261524
ESMC_600M,R1AB,0.012646062193500037
ESMC_600M,OPSD,0.4659651179677452
ESMC_600M,CP2C9,0.6220621234482369
ESMC_600M,CATR,0.314362844873176
ESMC_600M,IF1,0.5860160219961921
ESMC_600M,ENV,0.3174752135675197
ESMC_600M,HMDH,0.43291250316406954
ESMC_600M,A0A1I9GEU1,0.051430063677038985
ESMC_600M,SPTN1,0.5965017142731213
ESMC_600M,KKA2,0.6491779289346066
ESMC_600M,Q6WV12,0.0156790920870809
ESMC_600M,RD23A,0.492798848493566
ESMC_600M,UBR5,0.45762748735068
ESMC_600M,FKBP3,0.16739694820987652
ESMC_600M,ARGR,0.5340265505756515
ESMC_600M,SHOC2,0.29523565490172027
ESMC_600M,ODP2,0.4678633067528415
ESMC_600M,ENVZ,0.16199941378293883
ESMC_600M,CP2C9,0.593062890285078
ESMC_600M,AICDA,0.2764537840602468
ESMC_600M,A4GRB6,0.7152107419940718
AMPLIFY_350M,POLG,0.07486082566720782
AMPLIFY_350M,GCN4,0.4154411764705882
AMPLIFY_350M,HCP,0.5315026107713602
AMPLIFY_350M,SOX30,0.23080562972731855
AMPLIFY_350M,PA,-0.16256380897857925
AMPLIFY_350M,HEM3,0.38453920441611533
AMPLIFY_350M,SPIKE,0.01761450540697785
AMPLIFY_350M,MBD11,0.49518779661745604
AMPLIFY_350M,A0A192B1T2,0.4614214360279908
AMPLIFY_350M,BBC1,0.47705907021923016
AMPLIFY_350M,P53,0.3624705336438501
AMPLIFY_350M,PABP,0.6573554785614143
AMPLIFY_350M,B2L11,0.26146518401817287
AMPLIFY_350M,VKOR1,0.44434102469310477
AMPLIFY_350M,DNJA1,0.5049363695385335
AMPLIFY_350M,RS15,0.3399917542963134
AMPLIFY_350M,RNC,0.4099143342217234
AMPLIFY_350M,CCR5,0.2757791797230337
AMPLIFY_350M,NPC1,0.7352630568356375
AMPLIFY_350M,HIS7,0.03910194598629149
AMPLIFY_350M,Q2N0S5,0.2032403182390321
AMPLIFY_350M,VILI,0.2637382519485095
AMPLIFY_350M,MET,0.5470938920562072
AMPLIFY_350M,AMFR,0.22902668961906653
AMPLIFY_350M,RASH,0.29154473230892136
AMPLIFY_350M,PR40A,0.4521334794334319
AMPLIFY_350M,SRBS1,0.564329745788932
AMPLIFY_350M,NUD15,0.5713453347758755
AMPLIFY_350M,GAL4,0.44546400695066446
AMPLIFY_350M,RPC1,0.1396682459234876
AMPLIFY_350M,OBSCN,0.5783982229045229
AMPLIFY_350M,CSN4,0.5597227963741193
AMPLIFY_350M,Q837P5,0.2949311834944256
AMPLIFY_350M,CAPSD,0.5118511450183956
AMPLIFY_350M,ENV,
AMPLIFY_350M,YAIA,0.3841303734674199
AMPLIFY_350M,LYAM1,0.35116713812726935
AMPLIFY_350M,PSAE,0.28551086570629225
AMPLIFY_350M,CCDB,0.2628159174158885
AMPLIFY_350M,SPG1,0.21047031907951957
AMPLIFY_350M,PIN1,0.686079476893234
AMPLIFY_350M,CAR11,0.23874397865895106
AMPLIFY_350M,PITX2,0.49400615951624266
AMPLIFY_350M,ANCSZ,0.48854540140448843
AMPLIFY_350M,P53,0.3654020668605883
AMPLIFY_350M,HXK4,0.26943447561588396
AMPLIFY_350M,SRC,0.13948842649831242
AMPLIFY_350M,BCHB,0.06939465389434425
AMPLIFY_350M,F7YBW8,0.35324798482693215
AMPLIFY_350M,TRPC,0.619197090367496
AMPLIFY_350M,POLG,0.09840072658347813
AMPLIFY_350M,SC6A4,0.49868538562133746
AMPLIFY_350M,DLG4,0.22638189860696548
AMPLIFY_350M,SPG2,0.22964487348661325
AMPLIFY_350M,HSP82,0.5125769768367289
AMPLIFY_350M,YNZC,0.49809926069310606
AMPLIFY_350M,DYR,0.25332174065063995
AMPLIFY_350M,HSP82,0.39082242320622845
AMPLIFY_350M,PTEN,0.44456262541266867
AMPLIFY_350M,SQSTM,0.34560903119923286
AMPLIFY_350M,RASK,0.3827883226682666
AMPLIFY_350M,BLAT,0.24787677370466984
AMPLIFY_350M,ADRB2,0.45242390909511815
AMPLIFY_350M,SYUA,0.2253032956848212
AMPLIFY_350M,PPARG,0.5437060738118378
AMPLIFY_350M,NUSG,0.5957094415625818
AMPLIFY_350M,OXDA,0.292554439693271
AMPLIFY_350M,SUMO1,0.3520909616435242
AMPLIFY_350M,PKN1,0.38960019029345344
AMPLIFY_350M,MTHR,0.28774102840694765
AMPLIFY_350M,RAF1,0.27914851248902034
AMPLIFY_350M,RASK,0.14426309343916105
AMPLIFY_350M,UBE4B,0.575758024118257
AMPLIFY_350M,RFAH,0.11997275953291053
AMPLIFY_350M,A0A2Z5U3Z0,0.45890988822553597
AMPLIFY_350M,TCRG1,0.6940413501716453
AMPLIFY_350M,VRPI,0.4207995035932569
AMPLIFY_350M,VKOR1,0.432406639852965
AMPLIFY_350M,PHOT,0.6269191657974928
AMPLIFY_350M,C6KNH7,0.271796365712401
AMPLIFY_350M,GRB2,0.63205948709816
AMPLIFY_350M,NKX31,0.5161580075492952
AMPLIFY_350M,RCD1,0.25852917589341884
AMPLIFY_350M,CALM1,0.2647028140108122
AMPLIFY_350M,SBI,0.31593764486164594
AMPLIFY_350M,YAP1,0.10470701637600884
AMPLIFY_350M,SERC,0.5007907892417367
AMPLIFY_350M,TPOR,0.36547881468610643
AMPLIFY_350M,KCNH2,0.314142353558839
AMPLIFY_350M,OTC,0.5457209382205866
AMPLIFY_350M,AMIE,0.5479501476104122
AMPLIFY_350M,CAS9,0.18207208921878337
AMPLIFY_350M,Q837P4,0.45015432040383746
AMPLIFY_350M,UBC9,0.3734948996239301
AMPLIFY_350M,HSP82,0.4140352685529194
AMPLIFY_350M,SPIKE,-0.007988674167322322
AMPLIFY_350M,HXK4,0.40237177054935974
AMPLIFY_350M,CCDB,0.3319840011278741
AMPLIFY_350M,TPK1,0.330955694036696
AMPLIFY_350M,FECA,0.38016771517912995
AMPLIFY_350M,NUSA,0.33709567356031483
AMPLIFY_350M,RPC1,0.0881255202342608
AMPLIFY_350M,CASP3,0.58922481843268
AMPLIFY_350M,KCNE1,0.08874861846012318
AMPLIFY_350M,ILF3,0.29998895256853547
AMPLIFY_350M,F7YBW8,0.17301922175339898
AMPLIFY_350M,SCIN,0.31189227914086504
AMPLIFY_350M,RL20,0.33632474926553224
AMPLIFY_350M,REV,0.2274609950942917
AMPLIFY_350M,CASP7,0.5911809700086447
AMPLIFY_350M,CUE1,0.26090856523340317
AMPLIFY_350M,ERBB2,0.23997966843444432
AMPLIFY_350M,A4,
AMPLIFY_350M,DN7A,0.1329621988339464
AMPLIFY_350M,CBPA2,0.46063552620537634
AMPLIFY_350M,VG08,0.5048565835370789
